company,ticker,period,period_date,published_at,monthly_revenue,yoy_pct,source,source_url,knowledge_time_method,transport
景碩,3189.TW,2024-04,2024-04-30T00:00:00+08:00,2024-05-10T23:59:59+08:00,2388468.0,10.400785411462788,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-04,2024-04-30T00:00:00+08:00,2024-05-10T23:59:59+08:00,2676047.0,-27.857277458032737,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-05,2024-05-31T00:00:00+08:00,2024-06-10T23:59:59+08:00,9643831.0,12.159297370862765,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-05,2024-05-31T00:00:00+08:00,2024-06-10T23:59:59+08:00,2511206.0,10.104298932983502,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-05,2024-05-31T00:00:00+08:00,2024-06-10T23:59:59+08:00,2699432.0,-19.145614643593756,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-06,2024-06-30T00:00:00+08:00,2024-07-10T23:59:59+08:00,8871595.0,7.303009495758062,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-06,2024-06-30T00:00:00+08:00,2024-07-10T23:59:59+08:00,2400808.0,18.96843491717877,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-06,2024-06-30T00:00:00+08:00,2024-07-10T23:59:59+08:00,2745127.0,-11.035120866727377,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-07,2024-07-31T00:00:00+08:00,2024-08-10T23:59:59+08:00,10051113.0,17.296780157309666,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-07,2024-07-31T00:00:00+08:00,2024-08-10T23:59:59+08:00,2692121.0,39.116412776844456,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-07,2024-07-31T00:00:00+08:00,2024-08-10T23:59:59+08:00,3125412.0,-6.242637267433649,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-08,2024-08-31T00:00:00+08:00,2024-09-10T23:59:59+08:00,10823395.0,17.41789644668421,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
景碩,3189.TW,2024-08,2024-08-31T00:00:00+08:00,2024-09-10T23:59:59+08:00,2858462.0,34.03616703515184,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
南電,8046.TW,2024-08,2024-08-31T00:00:00+08:00,2024-09-10T23:59:59+08:00,3097645.0,-8.194913450897623,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
欣興,3037.TW,2024-09,2024-09-30T00:00:00+08:00,2024-10-10T23:59:59+08:00,10837646.0,23.733578905738373,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy,finmind
