source_id,metric_id,entity,period,period_date,published_at,value,value_unit,change_pct,chain,dimension,source,source_url,knowledge_time_method
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-05,2024-05-30 16:00:00+00:00,2024-06-10 15:59:59+00:00,9643831.0,TWD thousand,12.159297370862763,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-05,2024-05-30 16:00:00+00:00,2024-06-10 15:59:59+00:00,2511206.0,TWD thousand,10.104298932983502,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-05,2024-05-30 16:00:00+00:00,2024-06-10 15:59:59+00:00,2699432.0,TWD thousand,-19.14561464359376,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
tpca_public_industry,ccl_export_yoy,Taiwan PCB industry,2024-05,2024-05-30 16:00:00+00:00,2024-06-18 15:59:59+00:00,16.7,percent,16.7,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23666,page_publication_date
tpca_public_industry,ccl_import_yoy,Taiwan PCB industry,2024-05,2024-05-30 16:00:00+00:00,2024-06-18 15:59:59+00:00,77.2,percent,77.2,CCL,market_tightness,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23665,page_publication_date
tpca_public_industry,pcb_material_revenue_yoy,Taiwan PCB industry,2024-05,2024-05-30 16:00:00+00:00,2024-06-18 15:59:59+00:00,12.5,percent,12.5,CCL,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23667,page_publication_date
tpca_public_industry,pcb_revenue_yoy,Taiwan PCB industry,2024-05,2024-05-30 16:00:00+00:00,2024-06-11 15:59:59+00:00,9.67,percent,9.67,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23639,page_publication_date
tpca_public_industry,rigid_pcb_export_yoy,Taiwan PCB industry,2024-05,2024-05-30 16:00:00+00:00,2024-06-11 15:59:59+00:00,8.52,percent,8.52,Networking,physical_throughput,TPCA public industry chart,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=23628,page_publication_date
mops_abf_monthly_revenue,abf_company_revenue_yoy::3037.TW,欣興,2024-06,2024-06-29 16:00:00+00:00,2024-07-10 15:59:59+00:00,8871595.0,TWD thousand,7.303009495758062,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::3189.TW,景碩,2024-06,2024-06-29 16:00:00+00:00,2024-07-10 15:59:59+00:00,2400808.0,TWD thousand,18.96843491717877,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
mops_abf_monthly_revenue,abf_company_revenue_yoy::8046.TW,南電,2024-06,2024-06-29 16:00:00+00:00,2024-07-10 15:59:59+00:00,2745127.0,TWD thousand,-11.035120866727375,ABF,financial_confirmation,FinMind TaiwanStockMonthRevenue (MOPS-derived),https://api.finmindtrade.com/api/v4/data,regulatory_deadline_proxy
