metric_id,period,period_date,published_at,change_pct,chain,dimension,title,source_url,source,knowledge_time_method
pcb_revenue_yoy,2024-08,2024-08-31T00:00:00+08:00,2024-09-11T23:59:59+08:00,12.06,Networking,physical_throughput,2024年8月 PCB上市櫃營收 YoY 12.06%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26020,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-08,2024-08-31T00:00:00+08:00,2024-09-11T23:59:59+08:00,9.71,Networking,physical_throughput,2024年8月台灣硬板出口YoY9.71%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26022,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-09,2024-09-30T00:00:00+08:00,2024-10-15T23:59:59+08:00,14.9,CCL,physical_throughput,2024年9月台灣CCL 出口YoY 14.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26173,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-09,2024-09-30T00:00:00+08:00,2024-10-15T23:59:59+08:00,21.2,CCL,market_tightness,2024年9月台灣CCL 進口YoY 21.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26172,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-09,2024-09-30T00:00:00+08:00,2024-10-15T23:59:59+08:00,5.9,CCL,physical_throughput,2024年9月台灣上市櫃PCB原物料營收YoY 5.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26174,TPCA public industry chart,page_publication_date
pcb_revenue_yoy,2024-09,2024-09-30T00:00:00+08:00,2024-10-16T23:59:59+08:00,4.19,Networking,physical_throughput,2024年9月 PCB上市櫃營收 YoY 4.19%%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26178,TPCA public industry chart,page_publication_date
rigid_pcb_export_yoy,2024-09,2024-09-30T00:00:00+08:00,2024-10-16T23:59:59+08:00,6.42,Networking,physical_throughput,2024年9月台灣硬板出口YoY6.42%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26180,TPCA public industry chart,page_publication_date
ccl_export_yoy,2024-10,2024-10-31T00:00:00+08:00,2024-11-20T23:59:59+08:00,9.2,CCL,physical_throughput,2024年10月台灣CCL 出口YoY 9.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26331,TPCA public industry chart,page_publication_date
ccl_import_yoy,2024-10,2024-10-31T00:00:00+08:00,2024-11-20T23:59:59+08:00,-9.2,CCL,market_tightness,2024年10月台灣CCL 進口YoY -9.2%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26332,TPCA public industry chart,page_publication_date
pcb_material_revenue_yoy,2024-10,2024-10-31T00:00:00+08:00,2024-11-20T23:59:59+08:00,5.9,CCL,physical_throughput,2024年10月台灣上市櫃PCB原物料營收YoY 5.9%,https://www.tpca.org.tw/web/news_detail.php?menu_no=312&mod_no=184&news_no=26333,TPCA public industry chart,page_publication_date
